CTID_FIVETRAN_ID,ID,SKU,NAME,DESCRIPTION,SUBCATEGORY_ID,BRAND,UNIT_PRICE,WEIGHT_LBS,IS_ACTIVE,CREATED_AT,UPDATED_AT,_FIVETRAN_DELETED,_FIVETRAN_SYNCED,DEMO_BATCH_ID,VENDOR_ID
TBD_PR_000001,1,PWR-001,Milwonky Cordless Drill No. 1,Quality hardware from The Build Depot (TBD),1,Milwonky,66.99,0.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000002,2,PWR-002,"Wyobi 7-1/4"" Circular Saw No. 2",Quality hardware from The Build Depot (TBD),2,Wyobi,73.99,1.10,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000003,3,PWR-003,Makuta Orbital Sander No. 3,Quality hardware from The Build Depot (TBD),3,Makuta,80.99,1.40,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000004,4,PWR-004,"Bozch 4-1/2"" Angle Grinder No. 4",Quality hardware from The Build Depot (TBD),4,Bozch,87.99,1.70,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000005,5,HND-005,Stanly Combination Wrench Set No. 5,Quality hardware from The Build Depot (TBD),5,Stanly,29.99,2.00,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000006,6,HND-006,4M Needle-Nose Pliers No. 6,Quality hardware from The Build Depot (TBD),6,4M,32.99,2.30,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000007,7,HND-007,Rust-O-Liam 10-Piece Screwdriver Set No. 7,Quality hardware from The Build Depot (TBD),7,Rust-O-Liam,35.99,2.60,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000008,8,HND-008,Sherman-Willams 16 oz. Claw Hammer No. 8,Quality hardware from The Build Depot (TBD),8,Sherman-Willams,38.99,2.90,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000009,9,PLB-009,"Behr-ly 1/2"" PVC Pipe 10ft No. 9",Quality hardware from The Build Depot (TBD),9,Behr-ly,108.99,3.20,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000010,10,PWR-DRL-010,DeWalter 20V MAX Cordless Drill/Driver Kit,Compact drill with 2 speed settings and LED work light,1,DeWalter,129.99,3.50,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
